1;3100000
10;420000
101;310000
104;110000
11;860000
111;360000
112;250000
113;200000
119;50000
12;700000
121;380000
122;320000
13;540000
131;295000
136;245000
15;310000
152;310000
16;190000
161;190000
2;10200000
21;1440000
211;1440000
211.0;260000
211,1;315000
211,3;105000
211,4;195000
211,5;225000
211,6;330000
22;3870000
221;1115000
221.0;245000
221,6;870000
222;365000
224;650000
224.0;210000
224,1;440000
225;560000
225,1;175000
225,2;280000
225,4;105000
226;525000
226,2;525000
227;440000
227,1;440000
228;210000
228,2;120000
228,3;90000
23;1000000
230;560000
231;210000
231.0;210000
24;700000
242;560000
244;140000
25;1700000
250;1120000
252,3;260000
253;155000
258;155000
27;1280000
271;210000
272;330000
272,1;120000
272,2;210000
273;420000
273.0;210000
273,1;105000
273,3;315000
275;195000
277;210000
28;895000
281;350000
281.0;175000
281,6;140000
281,7;175000
285;210000
287;210000
289;155000
29;560000
292;175000
298;210000
298,2;105000
298,9;105000
299;175000
4;1050000
42;1050000
421;1050000
5;1580000
51;525000
511;525000
52;525000
521;120000
523;115000
524;440000
524.0;210000
524,1;440000
525;85000
53;350000
531;120000
532;115000
533;115000
56;350000
566;155000
568;195000
