1;3330000
10;440000
101;330000
104;110000
11;1040000
111;440000
112;300000
113;240000
119;60000
12;750000
121;380000
122;370000
13;580000
131;310000
136;270000
15;320000
152;320000
16;200000
161;200000
2;10530000
21;1700000
211;1700000
211.0;300000
211,1;350000
211,3;110000
211,4;210000
211,5;260000
211,6;470000
22;2060000
221;590000
221.0;130000
221,6;460000
222;240000
224;450000
224.0;120000
224,1;330000
225;250000
225,1;75000
225,2;125000
225,4;50000
226;230000
226,2;230000
227;200000
227,1;200000
228;100000
228,2;55000
228,3;45000
23;830000
230;460000
231;180000
231.0;180000
24;350000
242;280000
244;70000
25;920000
250;610000
252,3;120000
253;70000
258;70000
27;690000
271;120000
272;210000
272,1;75000
272,2;135000
273;170000
273.0;90000
273,1;35000
273,3;80000
275;100000
277;120000
28;480000
281;190000
281.0;90000
281,6;80000
281,7;90000
285;110000
287;120000
289;90000
29;280000
292;90000
298;110000
298,2;55000
298,9;55000
299;90000
4;1000000
42;1000000
421;1000000
5;1500000
51;600000
511;600000
52;500000
521;120000
523;110000
524;200000
524.0;100000
524,1;200000
525;40000
53;350000
531;130000
532;120000
533;100000
56;190000
566;85000
568;105000
