1;130480
10;17787
101;16562
104;1225
11;38546
111;1286
112;45
113;33010
119;4205
12;22544
121;12340
122;10204
13;19430
131;11598
136;7832
15;26955
152;26955
16;5218
161;5218
2;1885575
21;250725
211;250725
211;0
211,1;31129
211,3;30
211,4;4747
211,5;31761
211,6;183058
22;303364
221;124537
221;0
221,6;124537
222;9751
224;56744
224;0
224,1;29223
225;47260
225,1;16940
225,2;27062
225,4;3258
226;56820
226,2;56820
227;7311
227,1;7311
228;6941
228,2;6941
228,3;0
23;197835
230;144884
231;52951
231;0
24;73721
242;73721
244;0
25;289721
250;289721
252,3;0
253;0
258;0
27;155322
271;0
272;48189
272,1;28599
272,2;19590
273;88854
273;0
273,1;0
273,3;88854
275;12353
277;5926
28;248719
281;100508
281;0
281,6;37863
281,7;62645
285;48990
287;23388
289;75833
29;436169
292;11293
298;29798
298,2;29482
298,9;316
299;395078
4;46575
42;46575
421;46575
5;32370
51;3702
511;3702
52;11439
521;1122
523;2290
524;7329
524;0
524,1;7329
525;698
53;11699
531;2638
532;5398
533;3663
56;5530
566;1454
568;4076
