1;2310000
10;310000
101;190000
104;120000
11;690000
111;290000
112;200000
113;160000
119;40000
12;530000
121;270000
122;260000
13;410000
131;220000
136;190000
15;230000
152;230000
16;140000
161;140000
2;5420000
21;1160000
211;1160000
211.0;200000
211,1;250000
211,3;80000
211,4;150000
211,5;180000
211,6;300000
22;1510000
221;420000
221.0;100000
221,6;320000
222;170000
224;290000
224.0;80000
224,1;210000
225;200000
225,1;60000
225,2;100000
225,4;40000
226;190000
226,2;190000
227;160000
227,1;160000
228;80000
228,2;45000
228,3;35000
23;590000
230;330000
231;120000
231.0;120000
24;250000
242;200000
244;50000
25;720000
250;480000
252,3;90000
253;50000
258;50000
27;540000
271;90000
272;170000
272,1;60000
272,2;110000
273;130000
273.0;70000
273,1;30000
273,3;90000
275;80000
277;90000
28;400000
281;150000
281.0;70000
281,6;60000
281,7;70000
285;100000
287;90000
289;70000
29;250000
292;80000
298;80000
298,2;40000
298,9;40000
299;80000
4;700000
42;700000
421;700000
5;800000
51;320000
511;320000
52;250000
521;60000
523;55000
524;120000
524.0;60000
524,1;120000
525;30000
53;180000
531;65000
532;60000
533;55000
56;150000
566;70000
568;80000
