1;3490000
10;470000
101;340000
104;130000
11;1040000
111;440000
112;300000
113;240000
119;60000
12;800000
121;410000
122;390000
13;620000
131;340000
136;280000
15;350000
152;350000
16;210000
161;210000
2;12160000
21;1710000
211;1710000
211.0;300000
211,1;370000
211,3;120000
211,4;230000
211,5;280000
211,6;410000
22;5040000
221;1260000
221.0;260000
221,6;1000000
222;400000
224;1530000
224.0;290000
224,1;1240000
225;600000
225,1;180000
225,2;300000
225,4;120000
226;550000
226,2;550000
227;470000
227,1;470000
228;230000
228,2;130000
228,3;100000
23;1060000
230;600000
231;230000
231.0;230000
24;760000
242;600000
244;160000
25;1810000
250;1200000
252,3;290000
253;160000
258;160000
27;1360000
271;230000
272;360000
272,1;130000
272,2;230000
273;460000
273.0;230000
273,1;110000
273,3;340000
275;200000
277;230000
28;960000
281;370000
281.0;180000
281,6;150000
281,7;180000
285;230000
287;230000
289;180000
29;600000
292;180000
298;230000
298,2;115000
298,9;115000
299;180000
4;1080000
42;1080000
421;1080000
5;1620000
51;650000
511;650000
52;540000
521;130000
523;120000
524;470000
524.0;230000
524,1;470000
525;90000
53;430000
531;160000
532;140000
533;130000
56;325000
566;145000
568;180000
